,Title,URL
0,Galaxy of Pen &amp; Paper +1 Edition,/game/switch/galaxy-of-pen-paper-+1-edition
1,Towertale,/game/switch/towertale
2,Convoy: A Tactical Roguelike,/game/switch/convoy-a-tactical-roguelike
3,Ubongo,/game/switch/ubongo
4,Disaster Report 4: Summer Memories,/game/switch/disaster-report-4-summer-memories
5,Grimvalor,/game/switch/grimvalor
6,12 Labours of Hercules II: The Cretan Bull,/game/switch/12-labours-of-hercules-ii-the-cretan-bull
7,Push the Box,/game/switch/push-the-box
8,HyperParasite,/game/switch/hyperparasite
9,Aeolis Tournament,/game/switch/aeolis-tournament
10,In Other Waters,/game/switch/in-other-waters
11,Drift Zone Arcade,/game/switch/drift-zone-arcade
12,Random Heroes: Gold Edition,/game/switch/random-heroes-gold-edition
13,Super Space Snake,/game/switch/super-space-snake
14,Sir Tincan - Adventures in the Castle,/game/switch/sir-tincan---adventures-in-the-castle
15,Curious Expedition,/game/switch/curious-expedition
16,The Otterman Empire,/game/switch/the-otterman-empire
17,MazM: Jekyll and Hyde,/game/switch/mazm-jekyll-and-hyde
18,Rascal Fight,/game/switch/rascal-fight
19,Lost Artifacts,/game/switch/lost-artifacts
20,Pocket Harvest,/game/switch/pocket-harvest
21,MetaChampions,/game/switch/metachampions
22,Junk Jack,/game/switch/junk-jack
23,Snakeybus,/game/switch/snakeybus
24,Arcade Archives: The Tin Star,/game/switch/arcade-archives-the-tin-star
25,Totally Reliable Delivery Service,/game/switch/totally-reliable-delivery-service
26,Wurroom,/game/switch/wurroom
27,Cat Girl Without Salad: Amuse-Bouche,/game/switch/cat-girl-without-salad-amuse-bouche
28,Treachery in Beatdown City,/game/switch/treachery-in-beatdown-city
29,The Complex,/game/switch/the-complex
30,Zombie Army Trilogy,/game/switch/zombie-army-trilogy
31,Ty the Tasmanian Tiger HD,/game/switch/ty-the-tasmanian-tiger-hd
32,Operencia: The Stolen Sun,/game/switch/operencia-the-stolen-sun
33,Chapeau,/game/switch/chapeau
34,Cooking Mama: Cookstar,/game/switch/cooking-mama-cookstar
35,Stones of the Revenant,/game/switch/stones-of-the-revenant
36,WordHerd,/game/switch/wordherd
37,What the Box?,/game/switch/what-the-box
38,Gigantosaurus: The Game,/game/switch/gigantosaurus-the-game
39,One Piece: Pirate Warriors 4,/game/switch/one-piece-pirate-warriors-4
40,Saints Row IV: Re-Elected,/game/switch/saints-row-iv-re-elected
41,Children of Zodiarcs,/game/switch/children-of-zodiarcs
42,Repressed,/game/switch/repressed
43,Duck Souls+,/game/switch/duck-souls+
44,CopperBell,/game/switch/copperbell
45,One Step From Eden,/game/switch/one-step-from-eden
46,Panzer Dragoon,/game/switch/panzer-dragoon
47,Star Wars Jedi Knight: Jedi Academy,/game/switch/star-wars-jedi-knight-jedi-academy
48,Grand Guilds,/game/switch/grand-guilds
49,Ara Fell: Enhanced Edition,/game/switch/ara-fell-enhanced-edition
50,Marvel Ultimate Alliance 3: The Black Order - Expansion 3 - Fantastic Four: Shadow of Doom,/game/switch/marvel-ultimate-alliance-3-the-black-order---expansion-3---fantastic-four-shadow-of-doom
51,DreamGallery,/game/switch/dreamgallery
52,Wanba Warriors,/game/switch/wanba-warriors
53,Trailer Trashers,/game/switch/trailer-trashers
54,Mekorama,/game/switch/mekorama
55,Sin Slayers: Enhanced Edition,/game/switch/sin-slayers-enhanced-edition
56,NecroWorm,/game/switch/necroworm
57,JigSaw Abundance,/game/switch/jigsaw-abundance
58,Slot,/game/switch/slot
59,Shinsekai: Into the Depths,/game/switch/shinsekai-into-the-depths
60,Good Job!,/game/switch/good-job!
61,Tangledeep: Dawn of Dragons,/game/switch/tangledeep-dawn-of-dragons
62,Wenjia,/game/switch/wenjia
63,Chaos Code: New Sign of Catastrophe,/game/switch/chaos-code-new-sign-of-catastrophe
64,Arcade Archives - Ikari III: The Rescue,/game/switch/arcade-archives---ikari-iii-the-rescue
65,Nirvana Pilot Yume,/game/switch/nirvana-pilot-yume
66,Vampire: The Masquerade - Coteries of New York,/game/switch/vampire-the-masquerade---coteries-of-new-york
67,Hyperspace Delivery Service,/game/switch/hyperspace-delivery-service
68,Deep Sky Derelicts: Definitive Edition,/game/switch/deep-sky-derelicts-definitive-edition
69,Colorgrid,/game/switch/colorgrid
70,Dogurai,/game/switch/dogurai
71,Bug Academy,/game/switch/bug-academy
72,Rhythm of the Gods,/game/switch/rhythm-of-the-gods
73,Bohemian Killing,/game/switch/bohemian-killing
74,Animal Crossing: New Horizons,/game/switch/animal-crossing-new-horizons
75,DOOM 64,/game/switch/doom-64
76,Quell Memento,/game/switch/quell-memento
77,Mist Hunter,/game/switch/mist-hunter
78,Pooplers,/game/switch/pooplers
79,Diabolic,/game/switch/diabolic
80,Thunder Paw,/game/switch/thunder-paw
81,Pocket Mini Golf,/game/switch/pocket-mini-golf
82,Breakfast Bar Tycoon,/game/switch/breakfast-bar-tycoon
83,Dezatopia,/game/switch/dezatopia
84,SeaBed,/game/switch/seabed
85,Silent World,/game/switch/silent-world
86,Factotum 90,/game/switch/factotum-90
87,Beyond Enemy Lines: Essentials,/game/switch/beyond-enemy-lines-essentials
88,Ghost Sweeper,/game/switch/ghost-sweeper
89,The Secret Order: Shadow Breach,/game/switch/the-secret-order-shadow-breach
90,Frosty Jump,/game/switch/frosty-jump
91,Tennis Open 2020,/game/switch/tennis-open-2020
92,Ultimate Ski Jumping 2020,/game/switch/ultimate-ski-jumping-2020
93,Epic Word Search Collection,/game/switch/epic-word-search-collection
94,Red Death,/game/switch/red-death
95,Explosive Jake,/game/switch/explosive-jake
96,Top Speed: Drag &amp; Fast Racing,/game/switch/top-speed-drag-fast-racing
97,Narcos: Rise of the Cartels,/game/switch/narcos-rise-of-the-cartels
98,La-Mulana 2,/game/switch/la-mulana-2
99,OVERPASS,/game/switch/overpass
100,La-Mulana 1 &amp; 2: Hidden Treasures Edition,/game/switch/la-mulana-1-2-hidden-treasures-edition
101,R.B.I. Baseball 20,/game/switch/rbi-baseball-20
102,Exit the Gungeon,/game/switch/exit-the-gungeon
103,La-Mulana,/game/switch/la-mulana
104,Uno Flip!,/game/switch/uno-flip!
105,Sky Racket,/game/switch/sky-racket
106,Deep Diving Adventures,/game/switch/deep-diving-adventures
107,This Strange Realm Of Mine,/game/switch/this-strange-realm-of-mine
108,Super Bit Blaster XL,/game/switch/super-bit-blaster-xl
109,Travel Mosaics 2: Roman Holiday,/game/switch/travel-mosaics-2-roman-holiday
110,Alder's Blood,/game/switch/alders-blood
111,My Hero One's Justice 2,/game/switch/my-hero-ones-justice-2
112,Syder Reloaded,/game/switch/syder-reloaded
113,Dead or School,/game/switch/dead-or-school
114,Stela,/game/switch/stela
115,Rack N Ruin,/game/switch/rack-n-ruin
116,YOGA MASTER,/game/switch/yoga-master
117,"Rainbows, Toilets and Unicorns",/game/switch/rainbows-toilets-and-unicorns
118,Super Destronaut: Land Wars,/game/switch/super-destronaut-land-wars
119,"Jump, Step, Step",/game/switch/jump-step-step
120,Trancelation,/game/switch/trancelation
121,Roundguard,/game/switch/roundguard
122,Tiny Metal Ultimate,/game/switch/tiny-metal-ultimate
123,Mystic Vale,/game/switch/mystic-vale
124,Neon City Riders,/game/switch/neon-city-riders
125,Brotherhood United,/game/switch/brotherhood-united
126,Half Past Fate,/game/switch/half-past-fate
127,Hidden Through Time,/game/switch/hidden-through-time
128,inbento,/game/switch/inbento
129,A Street Cat's Tale,/game/switch/a-street-cats-tale
130,NinNinDays,/game/switch/ninnindays
131,Gothic Murder,/game/switch/gothic-murder
132,Poly Puzzle,/game/switch/poly-puzzle
133,Hidden in Plain Sight,/game/switch/hidden-in-plain-sight
134,Video Poker @ Aces Casino,/game/switch/video-poker-aces-casino
135,Arcade Archives: KiKi KaiKai,/game/switch/arcade-archives-kiki-kaikai
136,Langrisser I &amp; II,/game/switch/langrisser-i-ii
137,Talisman: Digital Edition,/game/switch/talisman-digital-edition
138,Welcome to Primrose Lake,/game/switch/welcome-to-primrose-lake
139,Afterparty,/game/switch/afterparty
140,Pokemon Mystery Dungeon: Rescue Team DX,/game/switch/pokemon-mystery-dungeon-rescue-team-dx
141,Save Koch,/game/switch/save-koch
142,Breeder Homegrown: Director's Cut,/game/switch/breeder-homegrown-directors-cut
143,Swordbreaker The Game,/game/switch/swordbreaker-the-game
144,Troubleshooter,/game/switch/troubleshooter
145,Murder by Numbers,/game/switch/murder-by-numbers
146,Wunderling,/game/switch/wunderling
147,Ibb &amp; Obb,/game/switch/ibb-obb
148,"Dude, Stop",/game/switch/dude-stop
149,Kairobotica,/game/switch/kairobotica
150,Unlock The King,/game/switch/unlock-the-king
151,Darts,/game/switch/darts
152,Arcade Archives - P.O.W.: Prisoners of War,/game/switch/arcade-archives---pow-prisoners-of-war
153,Luigi's Mansion 3: Multiplayer Pack 1 &amp; 2,/game/switch/luigis-mansion-3-multiplayer-pack-1-2
